Position.x;Position.y;Position.z;Rotation.x;Rotation.y;Rotation.z
0,4391122;0,8014675;0,6861367;345,909;17,38549;359,069
0,4391286;0,801523;0,686095;345,8976;17,37815;359,0688
0,4391366;0,8015153;0,6860658;345,9012;17,3838;359,0691
0,4391228;0,8015205;0,6860336;345,898;17,38207;359,0675
0,4392227;0,8016734;0,6862131;345,9027;17,37356;359,0751
0,4392177;0,8016758;0,6862117;345,9066;17,37401;359,0788
0,4392257;0,8016905;0,6862092;345,907;17,37737;359,0741
0,4393281;0,8017927;0,6862844;345,9161;17,36712;359,0784
0,4393461;0,8018094;0,6862738;345,9131;17,37359;359,073
0,4393928;0,8018893;0,6862971;345,9198;17,37237;359,0753
0,4394424;0,8019153;0,6863045;345,9109;17,36777;359,0723
0,4394332;0,8019289;0,6863064;345,9073;17,36444;359,076
0,4394422;0,8019419;0,6863043;345,9096;17,36848;359,0714
0,4395313;0,8020077;0,6863945;345,9158;17,36771;359,0768
0,4395213;0,8020118;0,6864078;345,9159;17,36263;359,0767
0,439532;0,802016;0,6864197;345,9138;17,36428;359,0757
0,4396064;0,802035;0,6863897;345,9103;17,36321;359,0743
0,4396163;0,8020325;0,6864032;345,9124;17,36157;359,0719
0,4396316;0,8020549;0,6864064;345,9105;17,36677;359,0693
0,4396936;0,8020832;0,6864191;345,9044;17,36308;359,0691
0,4397226;0,8020645;0,6864448;345,9121;17,36559;359,0717
0,4397316;0,8020597;0,6864677;345,9104;17,36315;359,0761
0,4397705;0,8021315;0,6865543;345,9235;17,36304;359,0835
0,4395602;0,8019719;0,6864479;345,9105;17,3644;359,0732
0,4395565;0,8019795;0,6864567;345,9085;17,3633;359,076
0,4396061;0,8020595;0,6865287;345,9187;17,37003;359,0844
0,4394065;0,8020248;0,6864172;345,9018;17,36429;359,0828
0,4394118;0,802028;0,6864443;345,9065;17,36534;359,091
0,4392617;0,8018402;0,6864558;345,908;17,3622;359,0844
0,4392484;0,8018484;0,6864747;345,9056;17,36196;359,0914
0,4392446;0,8018387;0,6864911;345,9102;17,36584;359,0851
0,4392245;0,8017107;0,6862599;345,8923;17,36784;359,0825
0,4392233;0,8016964;0,686269;345,894;17,36763;359,09
0,4392331;0,80167;0,6862771;345,8981;17,37207;359,0848
0,4393219;0,8016843;0,6862266;345,9043;17,3819;359,0811
0,4390491;0,8014709;0,6861022;345,8912;17,37122;359,0847
0,4390544;0,801468;0,6860813;345,8884;17,37301;359,0792
